name,label
./data/Replay-Attack-processed/train/spoof/hand\client016_6935_attack_hand.png,0
./data/Replay-Attack-processed/train/spoof/hand\client105_32450_attack_hand.png,0
./data/Replay-Attack-processed/train/real\client103_17865_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client008_18518_attack_hand.png,0
./data/Replay-Attack-processed/train/real\client018_13401_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client105_32560_attack_hand.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client006_3768_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client103_25298_attack_fixed.png,0
./data/Replay-Attack-processed/train/real\client008_8350_real.png,1
./data/Replay-Attack-processed/train/spoof/fixed\client105_26002_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client007_18750_attack_fixed.png,0
./data/Replay-Attack-processed/train/real\client103_16936_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client016_6806_attack_hand.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client008_19869_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client001_14811_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/hand\client004_27806_attack_hand.png,0
./data/Replay-Attack-processed/train/real\client016_11939_real.png,1
./data/Replay-Attack-processed/train/real\client002_2784_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client103_32143_attack_hand.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client016_32191_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client016_21868_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client008_5726_attack_fixed.png,0
./data/Replay-Attack-processed/train/real\client025_13944_real.png,1
./data/Replay-Attack-processed/train/real\client108_20750_real.png,1
./data/Replay-Attack-processed/train/spoof/fixed\client018_32761_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client018_7743_attack_fixed.png,0
./data/Replay-Attack-processed/train/real\client001_283_real.png,1
./data/Replay-Attack-processed/train/spoof/fixed\client004_2703_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client008_5148_attack_fixed.png,0
./data/Replay-Attack-processed/train/real\client016_11214_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client016_7187_attack_hand.png,0
./data/Replay-Attack-processed/train/spoof/fixed\client004_16440_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/hand\client025_22062_attack_hand.png,0
./data/Replay-Attack-processed/train/spoof/hand\client002_14444_attack_hand.png,0
./data/Replay-Attack-processed/train/real\client105_18781_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client110_12842_attack_hand.png,0
./data/Replay-Attack-processed/train/real\client016_11446_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client002_15161_attack_hand.png,0
./data/Replay-Attack-processed/train/real\client018_12484_real.png,1
./data/Replay-Attack-processed/train/real\client008_8323_real.png,1
./data/Replay-Attack-processed/train/spoof/hand\client025_31411_attack_hand.png,0
./data/Replay-Attack-processed/train/real\client007_6908_real.png,1
./data/Replay-Attack-processed/train/spoof/fixed\client018_22220_attack_fixed.png,0
./data/Replay-Attack-processed/train/spoof/hand\client018_20917_attack_hand.png,0
